,nops_mean_on_50,nops_err_on_50,nops_mean_off_50,nops_err_off_50,turn_mean_on_50,turn_err_on_50,turn_mean_off_50,turn_err_off_50,go_mean_on_50,go_err_on_50,go_mean_off_50,go_err_off_50,nops_mean_on_300,nops_err_on_300,nops_mean_off_300,nops_err_off_300,turn_mean_on_300,turn_err_on_300,turn_mean_off_300,turn_err_off_300,go_mean_on_300,go_err_on_300,go_mean_off_300,go_err_off_300
101,117.038333333,0.0598527106737,142.5775,0.0245533039721,123.319166667,0.0351006591606,232.1475,0.0352643257955,271.6425,0.0773625383287,137.275,0.0175756526124,158.522638889,0.00614306465649,143.390555556,0.00383731925972,170.786666667,0.00709698221484,226.371527778,0.00648842996557,182.690694444,0.00894841088513,142.237916667,0.00333845254382
102,118.280833333,0.058410655431,141.428333333,0.0240124255823,124.736666667,0.0360874208047,233.226666667,0.0350815018417,268.9825,0.0753863380305,137.345,0.0182459990745,159.27125,0.00605854325568,143.419583333,0.00383749549212,171.107083333,0.00713985265942,226.715555556,0.00649702129665,181.621666667,0.00879681923844,141.864861111,0.00329291409621
103,116.045833333,0.0586648923639,141.093333333,0.0241403186935,125.035833333,0.0354938250005,233.984166667,0.0352144006441,270.918333333,0.0774493234539,136.9225,0.0172311908796,158.595416667,0.00618839318025,142.673333333,0.00377035764621,170.711666667,0.00708039932033,227.384722222,0.00636266707879,182.692916667,0.00896914450799,141.941944444,0.00328916994062
104,118.928333333,0.0582971510333,142.344166667,0.025934570574,123.744166667,0.0355065649323,233.103333333,0.0359932427229,269.3275,0.0746192579777,136.5525,0.0170261079849,159.241805556,0.00604240784056,142.848194444,0.00378001651018,170.383194444,0.00701030803694,226.865555556,0.0063859056792,182.375,0.00879199069277,142.28625,0.00332635840315
105,120.2475,0.0576265490543,139.8975,0.0236033490982,124.356666667,0.0363687089098,233.898333333,0.0361845220378,267.395833333,0.0744451454898,138.204166667,0.0193350032879,158.798611111,0.00601901243292,142.395138889,0.00373544239619,171.684305556,0.00713413884663,227.284583333,0.00644111588269,181.517083333,0.00875893908775,142.320277778,0.00340104426554
106,115.1375,0.05656049596,141.12,0.0237249873171,126.1475,0.0346639798654,232.8575,0.0363959610296,270.715,0.0738741639251,138.0225,0.0189273230754,158.088611111,0.0061251823824,142.55,0.0037293532425,171.253194444,0.00703552644361,226.911666667,0.00652784700611,182.658194444,0.00880672511504,142.538333333,0.0034677097116
107,113.695833333,0.0575431208393,142.083333333,0.0227957594247,124.838333333,0.0358578646403,232.039166667,0.0348565053756,273.465833333,0.0757456046102,137.8775,0.017987208749,158.196805556,0.0061586942701,143.013611111,0.003826181751,170.619166667,0.00703702783964,226.521805556,0.00652056683502,183.184027778,0.00895155336243,142.464583333,0.00339084198394
108,117.581666667,0.0606703879354,142.43,0.0231752612262,124.253333333,0.0371960009471,230.808333333,0.0365682517202,270.165,0.0776620824322,138.761666667,0.0193291103765,159.022083333,0.00624899622599,143.464166667,0.00380015416249,170.327777778,0.00711909150918,226.503611111,0.00649198894482,182.650138889,0.0089342680735,142.032222222,0.00330343616065
109,115.914166667,0.0591802624715,139.789166667,0.0206593888614,123.660833333,0.0342196888937,234.215,0.0342391036045,272.425,0.0750768367449,137.995833333,0.0189138463377,157.964166667,0.00617855138409,143.189722222,0.00377414343839,170.873611111,0.00699867118855,226.013194444,0.00647183525194,183.162222222,0.00889328100684,142.797083333,0.00339564848682
110,116.206666667,0.0596917486239,140.1875,0.0208929514121,122.810833333,0.0347715662609,232.41,0.0351265079818,272.9825,0.0768155187922,139.4025,0.0205489423391,158.440416667,0.00621627992547,142.923611111,0.0037106891996,170.391666667,0.00708208724584,226.212777778,0.00644708179407,183.167916667,0.0089944213662,142.863611111,0.00341128180812
111,114.985833333,0.0560297534601,140.649166667,0.0221085239339,123.948333333,0.0356690455474,232.929166667,0.0354044605799,273.065833333,0.0746628905538,138.421666667,0.0207689748785,158.375694444,0.00610410373724,142.878888889,0.00378208623146,170.807222222,0.00705585792665,226.420277778,0.00649095831718,182.817083333,0.00889916142078,142.700833333,0.00347368760444
